id;extracted_data_id;zeile_inhalt;zeile_inhalt_orig;regex_pattern;quell_tabelle;quell_feld;Hit_Platz;Hit_StartNr;Hit_Zeit;zeile_inhalt_Typ;gefunden_am
41;126;Limburger ClfW;2 Limburger ClfW - Boot 2 - 01:59.33 9;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;9;01:59.33;Boot;2025-11-29 19:23:02.120732
42;128;RG Wetzlar;3 RG Wetzlar 02:05.52 11;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;11;02:05.52;Boot;2025-11-29 19:23:02.120742
43;130;SG Wiking;4 SG Wiking - Boot 2 - 02:11.97 10;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;4;10;02:11.97;Boot;2025-11-29 19:23:02.120752
44;134;Limburger ClfW;1 Limburger ClfW - Boot 3 - 01:59.75 13;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;13;01:59.75;Boot;2025-11-29 19:23:02.120763
45;136;RG Eberbach;2 RG Eberbach 02:00.70 14;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;14;02:00.70;Boot;2025-11-29 19:23:02.120773
46;138;WSV Hellas Gießen;3 WSV Hellas Gießen 02:03.63 15;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;15;02:03.63;Boot;2025-11-29 19:23:02.120784
47;142;RC Aschaffenburg;1 RC Aschaffenburg 02:01.59 19;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;19;02:01.59;Boot;2025-11-29 19:23:02.120818
48;144;Hanauer RG;2 Hanauer RG 02:18.30 18;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;18;02:18.30;Boot;2025-11-29 19:23:02.120847
49;153;Hanauer RC Hassia;1 Hanauer RC Hassia 01:46.24 3;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;3;01:46.24;Boot;2025-11-29 19:23:02.120862
50;156;Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt;2 Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt 01:46.24 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;1;01:46.24;Boot;2025-11-29 19:23:02.120875
