ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
78;2 - Boot 4 - 02:12.02 18;2 Hanauer RG - Boot 4 - 02:12.02 18;249;2025-11-29 10:16:55
79;3 - Boot 5 - 02:18.80 20;3 Hanauer RG - Boot 5 - 02:18.80 20;251;2025-11-29 10:16:55
80;1 01:40.89 1;1 Mühlheimer RV 01:40.89 1;263;2025-11-29 10:16:55
81;2 01:47.15 4;2 Gießener RC Hassia 01:47.15 4;265;2025-11-29 10:16:55
82;3 01:48.39 2;3 Frauen-RV Freiweg Frankfurt 01:48.39 2;267;2025-11-29 10:16:55
83;1 02:10.09 1;1 Hanauer RC Hassia 02:10.09 1;274;2025-11-29 10:16:55
84;2 02:15.18 2;2 Limburger ClfW 02:15.18 2;276;2025-11-29 10:16:55
85;3 02:35.92 4;3 RG Wetzlar 02:35.92 4;278;2025-11-29 10:16:55
86;1 01:58.91 1;1 Frankfurter RG Germania 01:58.91 1;289;2025-11-29 10:16:55
87;2 02:04.01 2;2 Frankfurter RC 02:04.01 2;291;2025-11-29 10:16:55
88;1 02:13.85 4;1 Limburger ClfW 02:13.85 4;297;2025-11-29 10:16:55
89;2 02:16.04 8;2 Hanauer RG 02:16.04 8;299;2025-11-29 10:16:55
90;3 02:17.96 9;3 Frankfurter Ruder- und Kanusport Verein 02:17.96 9;301;2025-11-29 10:16:55
91;1 - Boot 1 - 01:48.99 3;1 Frankfurter RC - Boot 1 - 01:48.99 3;315;2025-11-29 10:16:55
92;2 - Boot 1 - 01:52.99 1;2 Hanauer RC Hassia - Boot 1 - 01:52.99 1;317;2025-11-29 10:16:55
93;3 01:55.50 2;3 RG Eberbach 01:55.50 2;319;2025-11-29 10:16:55
94;1 - Boot 2 - 01:50.17 12;1 Frankfurter RC - Boot 2 - 01:50.17 12;323;2025-11-29 10:16:55
95;2 01:50.40 5;2 Nassovia Höchst 01:50.40 5;325;2025-11-29 10:16:55
96;1 - Boot 2 - 01:52.68 8;1 Frankfurter RG Oberrad - Boot 2 - 01:52.68 8;329;2025-11-29 10:16:55
97;2 01:59.17 9;2 SG Wiking 01:59.17 9;331;2025-11-29 10:16:55
98;3 - Boot 1 - 02:02.40 7;3 RG Wetzlar - Boot 1 - 02:02.40 7;333;2025-11-29 10:16:55
99;1 - Boot 1 - 01:53.65 10;1 Frankfurter RG Oberrad - Boot 1 - 01:53.65 10;337;2025-11-29 10:16:55
100;2 - Boot 2 - 01:58.27 11;2 RG Wetzlar - Boot 2 - 01:58.27 11;339;2025-11-29 10:16:55
101;1 01:44.80 1;1 Frankfurter RG Oberrad 01:44.80 1;347;2025-11-29 10:16:55
102;2 01:49.39 2;2 Hanauer RC Hassia 01:49.39 2;349;2025-11-29 10:16:55
103;1 - Boot 1 - 01:36.48 1;1 Limburger ClfW - Boot 1 - 01:36.48 1;358;2025-11-29 10:16:55
104;2 01:38.90 2;2 Frankfurter RG Borussia 01:38.90 2;360;2025-11-29 10:16:55
105;3 01:42.71 3;3 Gießener RC Hassia 01:42.71 3;362;2025-11-29 10:16:55
106;1 - Boot 2 - 01:37.90 4;1 Limburger ClfW - Boot 2 - 01:37.90 4;366;2025-11-29 10:16:55
107;2 01:40.54 5;2 Marburger RV 01:40.54 5;368;2025-11-29 10:16:55
108;3 01:46.75 6;3 RV Hellas Offenbach 01:46.75 6;370;2025-11-29 10:16:55
109;1 Rgm. / 01:36.03 7;1 Rgm. Frankfurter RC/ Frankfurter RG Germania 01:36.03 7;374;2025-11-29 10:16:55
110;2 Rgm. / 01:38.56 9;2 Rgm. Frankfurter RC/ SG Wiking 01:38.56 9;376;2025-11-29 10:16:55
111;3 Rgm. / 01:48.86 8;3 Rgm. RG Wetzlar/ WSV Hellas Gießen 01:48.86 8;378;2025-11-29 10:16:55
112;1 01:56.97 2;1 SG Wiking 01:56.97 2;383;2025-11-29 10:16:55
113;2 02:00.25 1;2 Hanauer RC Hassia 02:00.25 1;385;2025-11-29 10:16:55
114;1 02:06.40 4;1 RC Karlstadt 02:06.40 4;389;2025-11-29 10:16:55
115;2 02:13.30 3;2 Limburger ClfW 02:13.30 3;391;2025-11-29 10:16:55
116;1 01:47.61 1;1 Frankfurter RG Oberrad 01:47.61 1;396;2025-11-29 10:16:55
117;2 am Main-Bürgel 01:52.26 2;2 WSV Offenbach am Main-Bürgel 01:52.26 2;398;2025-11-29 10:16:55
118;1 01:30.01 4;1 Nassovia Höchst 01:30.01 4;407;2025-11-29 10:16:55
119;2 01:32.49 1;2 Limburger ClfW 01:32.49 1;409;2025-11-29 10:16:55
120;3 01:33.41 2;3 Frankfurter RG Germania 01:33.41 2;411;2025-11-29 10:16:55
121;1 01:28.36 5;1 Hanauer RC Hassia 01:28.36 5;415;2025-11-29 10:16:55
122;2 01:30.65 6;2 Wormser RC 01:30.65 6;417;2025-11-29 10:16:55
123;1 - Boot 2 - 01:48.94 2;1 Frankfurter RG Oberrad - Boot 2 - 01:48.94 2;426;2025-11-29 10:16:55
124;2 - Boot 1 - 01:53.99 1;2 Frankfurter RG Oberrad - Boot 1 - 01:53.99 1;428;2025-11-29 10:16:55
125;3 - Boot 1 - 01:59.11 3;3 SG Wiking - Boot 1 - 01:59.11 3;430;2025-11-29 10:16:55
126;1 01:52.77 4;1 RG Wetzlar 01:52.77 4;434;2025-11-29 10:16:55
127;2 02:02.06 5;2 Frankfurter RC 02:02.06 5;436;2025-11-29 10:16:55
128;3 - Boot 3 - 02:10.06 6;3 Frankfurter RG Oberrad - Boot 3 - 02:10.06 6;438;2025-11-29 10:16:55
129;1 02:02.84 7;1 Nassovia Höchst 02:02.84 7;442;2025-11-29 10:16:55
130;2 - Boot 2 - 02:13.37 8;2 SG Wiking - Boot 2 - 02:13.37 8;444;2025-11-29 10:16:55
131;1 02:12.15 12;1 Frankfurter RC 02:12.15 12;448;2025-11-29 10:16:55
132;2 02:13.04 13;2 RC Möve Grossauheim 02:13.04 13;450;2025-11-29 10:16:55
133;3 02:21.58 10;3 Mühlheimer RV 02:21.58 10;452;2025-11-29 10:16:55
134;4 02:28.74 11;4 Hanauer RG 02:28.74 11;454;2025-11-29 10:16:55
135;1 Rgm. / 01:38.70 3;1 Rgm. RC Möve Grossauheim/ Mühlheimer RV 01:38.70 3;465;2025-11-29 10:16:55
136;2 am Main-Bürgel 01:41.76 1;2 WSV Offenbach am Main-Bürgel 01:41.76 1;467;2025-11-29 10:16:55
137;3 am Main-Bürgel 01:45.23 4;3 WSV Offenbach am Main-Bürgel 01:45.23 4;469;2025-11-29 10:16:55
138;1 Rgm. / / WSV Offenbach am Main-Bürgel 01:42.54 2;1 Rgm. Nassovia Höchst/ Limburger ClfW/ WSV Offenbach am Main-Bürgel 01:42.54 2;476;2025-11-29 10:16:55
139;2 01:51.28 1;2 RC Möve Grossauheim 01:51.28 1;479;2025-11-29 10:16:55
140;1 01:49.45 3;1 Frankfurter RG Germania 01:49.45 3;485;2025-11-29 10:16:55
141;2 01:54.18 1;2 SG Wiking 01:54.18 1;488;2025-11-29 10:16:55
142;3 02:02.42 2;3 Limburger ClfW 02:02.42 2;491;2025-11-29 10:16:55
143;1 01:33.71 2;1 Hersfelder RV 01:33.71 2;497;2025-11-29 10:16:55
144;2 Rgm. / 01:42.80 4;2 Rgm. Frankfurter RG Borussia/ RC Aschaffenburg 01:42.80 4;499;2025-11-29 10:16:55
145;3 01:44.31 3;3 Frauen-RV Freiweg Frankfurt 01:44.31 3;502;2025-11-29 10:16:55
146;4 01:51.12 1;4 Frauen-RV Freiweg Frankfurt 01:51.12 1;504;2025-11-29 10:16:55
147;1 - Boot 1 - 01:35.38 2;1 Marburger RV - Boot 1 - 01:35.38 2;513;2025-11-29 10:16:55
148;2 - Boot 1 - 01:37.19 5;2 Nassovia Höchst - Boot 1 - 01:37.19 5;515;2025-11-29 10:16:55
149;3 - Boot 1 - 01:37.56 1;3 Hanauer RC Hassia - Boot 1 - 01:37.56 1;517;2025-11-29 10:16:55
