ID;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
98;RG Wetzlar;333;;11647;RG Wetzlar;2025-11-29 16:37:32
99;Frankfurter RG Oberrad;337;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
100;RG Wetzlar;339;;11647;RG Wetzlar;2025-11-29 16:37:32
101;Frankfurter RG Oberrad;347;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
102;Hanauer RC Hassia;349;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
103;Limburger ClfW;358;;11635;Limburger ClfW;2025-11-29 16:37:32
104;Frankfurter RG Borussia;360;;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
105;Gießener RC Hassia;362;;11622;Gießener RC Hassia;2025-11-29 16:37:32
106;Limburger ClfW;366;;11635;Limburger ClfW;2025-11-29 16:37:32
107;Marburger RV;368;;11636;Marburger RV;2025-11-29 16:37:32
108;RV Hellas Offenbach;370;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
109;Rgm. Frankfurter RC/ Frankfurter RG Germania;374;Rgm. Frankfurter RC/;11610;Frankfurter RG Germania;2025-11-29 16:37:32
110;Rgm. Frankfurter RC/ SG Wiking;376;Rgm. / SG Wiking;11616;Frankfurter RC;2025-11-29 16:37:32
111;Rgm. RG Wetzlar/ WSV Hellas Gießen;378;Rgm. RG Wetzlar/;11623;WSV Hellas Gießen;2025-11-29 16:37:32
112;SG Wiking;383;;11643;SG Wiking;2025-11-29 16:37:32
113;Hanauer RC Hassia;385;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
114;RC Karlstadt;389;;11107;RC Karlstadt;2025-11-29 16:37:32
115;Limburger ClfW;391;;11635;Limburger ClfW;2025-11-29 16:37:32
116;Frankfurter RG Oberrad;396;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
117;WSV Offenbach am Main-Bürgel;398;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
118;Nassovia Höchst;407;;11612;Nassovia Höchst;2025-11-29 16:37:32
119;Limburger ClfW;409;;11635;Limburger ClfW;2025-11-29 16:37:32
120;Frankfurter RG Germania;411;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
121;Hanauer RC Hassia;415;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
122;Wormser RC;417;;12038;Wormser RC;2025-11-29 16:37:32
123;Frankfurter RG Oberrad;426;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
124;Frankfurter RG Oberrad;428;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
125;SG Wiking;430;;11643;SG Wiking;2025-11-29 16:37:32
126;RG Wetzlar;434;;11647;RG Wetzlar;2025-11-29 16:37:32
127;Frankfurter RC;436;;11616;Frankfurter RC;2025-11-29 16:37:32
128;Frankfurter RG Oberrad;438;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
129;Nassovia Höchst;442;;11612;Nassovia Höchst;2025-11-29 16:37:32
130;SG Wiking;444;;11643;SG Wiking;2025-11-29 16:37:32
131;Frankfurter RC;448;;11616;Frankfurter RC;2025-11-29 16:37:32
132;RC Möve Grossauheim;450;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
133;Mühlheimer RV;452;;11637;Mühlheimer RV;2025-11-29 16:37:32
134;Hanauer RG;454;;11627;Hanauer RG;2025-11-29 16:37:32
135;Rgm. RC Möve Grossauheim/ Mühlheimer RV;465;Rgm. / Mühlheimer RV;11625;RC Möve Grossauheim;2025-11-29 16:37:32
136;WSV Offenbach am Main-Bürgel;467;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
137;WSV Offenbach am Main-Bürgel;469;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
138;Rgm. Nassovia Höchst/ Limburger ClfW/ WSV Offenbach am Main-Bürgel;476;Rgm. / Limburger ClfW/ WSV Offenbach am Main-Bürgel;11612;Nassovia Höchst;2025-11-29 16:37:32
139;RC Möve Grossauheim;479;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
140;Frankfurter RG Germania;485;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
141;SG Wiking;488;;11643;SG Wiking;2025-11-29 16:37:32
142;Limburger ClfW;491;;11635;Limburger ClfW;2025-11-29 16:37:32
143;Hersfelder RV;497;;11628;Hersfelder RV;2025-11-29 16:37:32
144;Rgm. Frankfurter RG Borussia/ RC Aschaffenburg;499;Rgm. / RC Aschaffenburg;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
145;Frauen-RV Freiweg Frankfurt;502;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:32
146;Frauen-RV Freiweg Frankfurt;504;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:32
147;Marburger RV;513;;11636;Marburger RV;2025-11-29 16:37:32
148;Nassovia Höchst;515;;11612;Nassovia Höchst;2025-11-29 16:37:32
149;Hanauer RC Hassia;517;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
150;RG Wetzlar;519;;11647;RG Wetzlar;2025-11-29 16:37:32
151;RG Eberbach;523;;11004;RG Eberbach;2025-11-29 16:37:32
152;RG Eberbach;525;;11004;RG Eberbach;2025-11-29 16:37:32
153;Hanauer RC Hassia;527;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
154;Wormser RC;529;;12038;Wormser RC;2025-11-29 16:37:32
155;RC Aschaffenburg;533;;11101;RC Aschaffenburg;2025-11-29 16:37:32
156;Offenbacher RG Undine;535;;11641;Offenbacher RG Undine;2025-11-29 16:37:32
157;Frankfurter RG Oberrad;539;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
158;Limburger ClfW;541;;11635;Limburger ClfW;2025-11-29 16:37:32
159;Nassovia Höchst;543;;11612;Nassovia Höchst;2025-11-29 16:37:32
160;Frankfurter RC;547;;11616;Frankfurter RC;2025-11-29 16:37:32
161;WSV Offenbach am Main-Bürgel;549;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
162;RC Möve Grossauheim;551;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
163;RG Wetzlar;553;;11647;RG Wetzlar;2025-11-29 16:37:32
164;Offenbacher RG Undine;568;;11641;Offenbacher RG Undine;2025-11-29 16:37:32
165;Frankfurter RG Germania;570;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
166;Frankfurter RG Germania;572;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
167;Rgm. Hanauer RC Hassia/ Hanauer RG;574;Rgm. / Hanauer RG;11626;Hanauer RC Hassia;2025-11-29 16:37:32
168;Frankfurter RG Oberrad;578;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
169;Hanauer RG;580;;11627;Hanauer RG;2025-11-29 16:37:32
170;Hanauer RG;584;;11627;Hanauer RG;2025-11-29 16:37:32
171;Hanauer RC Hassia;586;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
172;Frankfurter RG Borussia;593;;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
173;Gießener RC Hassia;595;;11622;Gießener RC Hassia;2025-11-29 16:37:32
174;RV Hellas Offenbach;599;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
175;Marburger RV;601;;11636;Marburger RV;2025-11-29 16:37:32
176;RC Möve Grossauheim;605;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
177;Wormser RC;607;;12038;Wormser RC;2025-11-29 16:37:32
178;WSV Hellas Gießen;609;;11623;WSV Hellas Gießen;2025-11-29 16:37:32
179;RC Aschaffenburg;614;;11101;RC Aschaffenburg;2025-11-29 16:37:32
180;WSV Hellas Gießen;616;;11623;WSV Hellas Gießen;2025-11-29 16:37:32
181;Frankfurter RG Oberrad;620;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
182;Wormser RC;622;;12038;Wormser RC;2025-11-29 16:37:32
183;Rgm. RV Hellas Offenbach/ Limburger ClfW;634;Rgm. / Limburger ClfW;11638;RV Hellas Offenbach;2025-11-29 16:37:32
184;Frauen-RV Freiweg Frankfurt;636;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:32
185;RG Eberbach;641;;11004;RG Eberbach;2025-11-29 16:37:32
186;Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar;643;Rgm. Marburger RV/ / RG Wetzlar;11622;Gießener RC Hassia;2025-11-29 16:37:32
187;Frankfurter RG Germania;646;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
188;Rgm. Hanauer RC Hassia/ RV Dorsten;650;Rgm. / RV Dorsten;11626;Hanauer RC Hassia;2025-11-29 16:37:32
189;Rgm. RC Möve Grossauheim/ Mühlheimer RV;653;Rgm. / Mühlheimer RV;11625;RC Möve Grossauheim;2025-11-29 16:37:32
190;WSV Offenbach am Main-Bürgel;656;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
191;RG Wetzlar;661;;11647;RG Wetzlar;2025-11-29 16:37:32
192;RC Möve Grossauheim;663;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
193;SG Wiking;665;;11643;SG Wiking;2025-11-29 16:37:32
194;RC Karlstadt;667;;11107;RC Karlstadt;2025-11-29 16:37:32
195;SG Wiking;671;;11643;SG Wiking;2025-11-29 16:37:32
196;RC Möve Grossauheim;673;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
197;SG Wiking;675;;11643;SG Wiking;2025-11-29 16:37:32
198;WSV Offenbach am Main-Bürgel;679;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
199;Hanauer RG;681;;11627;Hanauer RG;2025-11-29 16:37:32
200;Hanauer RG;683;;11627;Hanauer RG;2025-11-29 16:37:32
201;Frankfurter Ruder- und Kanusport Verein;685;;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 16:37:32
202;Hanauer RC Hassia;697;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
203;SRR Schillerschule Frankfurt;699;;15626;SRR Schillerschule Frankfurt;2025-11-29 16:37:32
204;Frankfurter RC;701;;11616;Frankfurter RC;2025-11-29 16:37:32
205;Limburger ClfW;703;;11635;Limburger ClfW;2025-11-29 16:37:32
206;Frankfurter RC;707;;11616;Frankfurter RC;2025-11-29 16:37:32
207;RC Karlstadt;709;;11107;RC Karlstadt;2025-11-29 16:37:32
208;RC Möve Grossauheim;711;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
209;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;718;Rgm. RC Möve Grossauheim/;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
210;Wormser RC;721;;12038;Wormser RC;2025-11-29 16:37:32
211;Nassovia Höchst;723;;11612;Nassovia Höchst;2025-11-29 16:37:32
212;Hanauer RC Hassia;727;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
213;Hanauer RG;729;;11627;Hanauer RG;2025-11-29 16:37:32
214;Frankfurter RG Germania;731;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
215;RC Aschaffenburg;743;;11101;RC Aschaffenburg;2025-11-29 16:37:32
216;Mühlheimer RV;745;;11637;Mühlheimer RV;2025-11-29 16:37:32
217;SG Wiking;747;;11643;SG Wiking;2025-11-29 16:37:32
218;Hanauer RG;749;;11627;Hanauer RG;2025-11-29 16:37:32
219;RV Hellas Offenbach;753;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
220;RG Eberbach;755;;11004;RG Eberbach;2025-11-29 16:37:32
221;WSV Offenbach am Main-Bürgel;759;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
222;Mühlheimer RV;761;;11637;Mühlheimer RV;2025-11-29 16:37:32
223;Wormser RC;767;;12038;Wormser RC;2025-11-29 16:37:32
224;WSV Offenbach am Main-Bürgel;769;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
225;Hanauer RG;771;;11627;Hanauer RG;2025-11-29 16:37:32
226;RC Aschaffenburg;775;;11101;RC Aschaffenburg;2025-11-29 16:37:32
227;Frankfurter RC;777;;11616;Frankfurter RC;2025-11-29 16:37:32
228;Offenbacher RG Undine;779;;11641;Offenbacher RG Undine;2025-11-29 16:37:32
229;Frankfurter RC;783;;11616;Frankfurter RC;2025-11-29 16:37:32
230;Marburger RV;785;;11636;Marburger RV;2025-11-29 16:37:32
231;Limburger ClfW;798;;11635;Limburger ClfW;2025-11-29 16:37:32
232;WSV Offenbach am Main-Bürgel;800;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
233;RC Möve Grossauheim;802;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
234;Frankfurter RG Germania;806;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
235;RC Möve Grossauheim;808;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
236;RC Aschaffenburg;812;;11101;RC Aschaffenburg;2025-11-29 16:37:32
237;SG Wiking;814;;11643;SG Wiking;2025-11-29 16:37:32
238;RC Möve Grossauheim;816;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
239;RC Karlstadt;824;;11107;RC Karlstadt;2025-11-29 16:37:32
240;RC Karlstadt;826;;11107;RC Karlstadt;2025-11-29 16:37:32
241;Marburger RV;831;;11636;Marburger RV;2025-11-29 16:37:32
242;Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW;833;Rgm. / Limburger ClfW;11511;Ruder-Gesellschaft HANSA e.V.;2025-11-29 16:37:32
243;Rgm. Frankfurter RG Borussia/ Gießener RC Hassia;835;Rgm. / Gießener RC Hassia;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
244;RV Hellas Offenbach;837;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
245;Frankfurter RC;841;;11616;Frankfurter RC;2025-11-29 16:37:32
246;Hanauer RC Hassia;843;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
247;Hanauer RG;845;;11627;Hanauer RG;2025-11-29 16:37:32
248;Hanauer RC Hassia;854;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
249;Nassovia Höchst;856;;11612;Nassovia Höchst;2025-11-29 16:37:32
250;Hanauer RC Hassia;858;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
251;Frankfurter RG Oberrad;862;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
252;Frankfurter RG Oberrad;864;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
253;Frankfurter RG Oberrad;868;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
254;Nassovia Höchst;870;;11612;Nassovia Höchst;2025-11-29 16:37:32
255;Hanauer RG;872;;11627;Hanauer RG;2025-11-29 16:37:32
256;RC Aschaffenburg;882;;11101;RC Aschaffenburg;2025-11-29 16:37:32
257;SG Wiking;885;;11643;SG Wiking;2025-11-29 16:37:32
258;Frankfurter RG Germania;888;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
259;Frankfurter RG Oberrad;891;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
260;Marburger RV;899;;11636;Marburger RV;2025-11-29 16:37:32
261;Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW;901;Rgm. / Limburger ClfW;11511;Ruder-Gesellschaft HANSA e.V.;2025-11-29 16:37:32
262;Rgm. Hanauer RG/ RC Möve Grossauheim;904;Rgm. Hanauer RG/;11625;RC Möve Grossauheim;2025-11-29 16:37:32
263;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;914;Rgm. RC Möve Grossauheim/;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
264;Rgm. WSV Hellas Gießen/ RV Kurhessen-Cassel;916;Rgm. WSV Hellas Gießen/;11632;RV Kurhessen-Cassel;2025-11-29 16:37:32
265;RC Möve Grossauheim;921;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
266;Rgm. Hanauer RG/ Mühlheimer RV;923;Rgm. Hanauer RG/;11637;Mühlheimer RV;2025-11-29 16:37:32
267;Frauen-RV Freiweg Frankfurt;925;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:32
268;Rgm. RV Hellas Offenbach/ Flörsheimer RV;929;Rgm. / Flörsheimer RV;11638;RV Hellas Offenbach;2025-11-29 16:37:32
269;Gießener RC Hassia;931;;11622;Gießener RC Hassia;2025-11-29 16:37:32
270;SG Wiking;936;;11643;SG Wiking;2025-11-29 16:37:32
271;Limburger ClfW;938;;11635;Limburger ClfW;2025-11-29 16:37:32
272;RC Aschaffenburg;940;;11101;RC Aschaffenburg;2025-11-29 16:37:32
273;RC Karlstadt;944;;11107;RC Karlstadt;2025-11-29 16:37:32
274;Limburger ClfW;946;;11635;Limburger ClfW;2025-11-29 16:37:32
275;Mühlheimer RV;950;;11637;Mühlheimer RV;2025-11-29 16:37:32
276;Hanauer RG;952;;11627;Hanauer RG;2025-11-29 16:37:32
277;Hanauer RG;954;;11627;Hanauer RG;2025-11-29 16:37:32
