ID;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
591;Rgm. Nassovia Höchst/ Limburger ClfW/ WSV Offenbach am Main-Bürgel;476;Rgm. / / WSV Offenbach am Main-Bürgel;11635;Limburger ClfW;2025-11-29 16:37:37
592;Rgm. Frankfurter RG Borussia/ RC Aschaffenburg;499;Rgm. /;11101;RC Aschaffenburg;2025-11-29 16:37:37
593;Rgm. Hanauer RC Hassia/ Hanauer RG;574;Rgm. /;11627;Hanauer RG;2025-11-29 16:37:37
594;Rgm. RV Hellas Offenbach/ Limburger ClfW;634;Rgm. /;11635;Limburger ClfW;2025-11-29 16:37:37
595;Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar;643;Rgm. / / RG Wetzlar;11636;Marburger RV;2025-11-29 16:37:37
596;Rgm. Hanauer RC Hassia/ RV Dorsten;650;Rgm. /;11922;RV Dorsten;2025-11-29 16:37:37
597;Rgm. RC Möve Grossauheim/ Mühlheimer RV;653;Rgm. /;11637;Mühlheimer RV;2025-11-29 16:37:37
598;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;718;Rgm. /;11625;RC Möve Grossauheim;2025-11-29 16:37:37
599;Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW;833;Rgm. /;11635;Limburger ClfW;2025-11-29 16:37:37
600;Rgm. Frankfurter RG Borussia/ Gießener RC Hassia;835;Rgm. /;11622;Gießener RC Hassia;2025-11-29 16:37:37
601;Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW;901;Rgm. /;11635;Limburger ClfW;2025-11-29 16:37:37
602;Rgm. Hanauer RG/ RC Möve Grossauheim;904;Rgm. /;11627;Hanauer RG;2025-11-29 16:37:37
603;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;914;Rgm. /;11625;RC Möve Grossauheim;2025-11-29 16:37:37
604;Rgm. WSV Hellas Gießen/ RV Kurhessen-Cassel;916;Rgm. /;11623;WSV Hellas Gießen;2025-11-29 16:37:37
605;Rgm. Hanauer RG/ Mühlheimer RV;923;Rgm. /;11627;Hanauer RG;2025-11-29 16:37:37
606;Rgm. RV Hellas Offenbach/ Flörsheimer RV;929;Rgm. /;11606;Flörsheimer RV;2025-11-29 16:37:37
607;Rgm. Frankfurter RG Germania/ Weilburger RV;1011;Rgm. /;11646;Weilburger RV;2025-11-29 16:37:37
608;Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst;1047;Rgm. am Main-Bürgel/;11642;WSV Offenbach;2025-11-29 16:37:37
609;Rgm. Marburger RV/ Gießener RC Hassia;1049;Rgm. /;11636;Marburger RV;2025-11-29 16:37:37
610;Rgm. Frankfurter RG Germania/ Weilburger RV;1111;Rgm. /;11646;Weilburger RV;2025-11-29 16:37:37
611;Rgm. Hanauer RC Hassia/ RV Dorsten;1114;Rgm. /;11922;RV Dorsten;2025-11-29 16:37:37
612;Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt;1260;Rgm. /;11610;Frankfurter RG Germania;2025-11-29 16:37:37
613;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1273;Rgm. /;11637;Mühlheimer RV;2025-11-29 16:37:37
614;Rgm. Hanauer RC Hassia/ Frankfurter RG Borussia;1426;Rgm. /;11626;Hanauer RC Hassia;2025-11-29 16:37:37
615;Rgm. DRC Ingolstadt/ RC Möve Grossauheim;1434;Rgm. /;11106;DRC Ingolstadt;2025-11-29 16:37:37
616;Rgm. Frankfurter RC/ Frankfurter RG Germania;1442;Rgm. /;11616;Frankfurter RC;2025-11-29 16:37:37
617;Rgm. Frankfurter RC/ SG Wiking;1444;Rgm. /;11643;SG Wiking;2025-11-29 16:37:37
618;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1514;Rgm. /;11637;Mühlheimer RV;2025-11-29 16:37:37
619;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1644;Rgm. /;11637;Mühlheimer RV;2025-11-29 16:37:37
620;Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar;1649;Rgm. / / RG Wetzlar;11636;Marburger RV;2025-11-29 16:37:37
621;Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst;1652;Rgm. am Main-Bürgel/;11642;WSV Offenbach;2025-11-29 16:37:37
622;Rgm. RG Wetzlar/ Marburger RV/ Gießener R.G./ Gießener RC Hassia;1709;Rgm. RG Wetzlar/ Marburger RV/ /;11624;Gießener R.G.;2025-11-29 16:37:37
623;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;1712;Rgm. /;11625;RC Möve Grossauheim;2025-11-29 16:37:37
624;Rgm. Hanauer RG/ WSV Offenbach am Main-Bürgel;1720;Rgm. / am Main-Bürgel;11627;Hanauer RG;2025-11-29 16:37:37
625;Rgm. Marburger RV/ Frankfurter RG Borussia;1723;Rgm. /;11636;Marburger RV;2025-11-29 16:37:37
626;Rgm. Gießener RC Hassia/ DRC Ingolstadt;1808;Rgm. /;11106;DRC Ingolstadt;2025-11-29 16:37:37
627;Rgm. RC Möve Grossauheim/ WSV Offenbach am Main-Bürgel;1848;Rgm. / am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:37
628;Rgm. Frankfurter RG Borussia/ RC Aschaffenburg;1850;Rgm. /;11101;RC Aschaffenburg;2025-11-29 16:37:37
629;Rgm. Hanauer RC Hassia/ Frankfurter RG Oberrad/ Frankfurter RC/ Frankfurter RG;1872;Rgm. / / Frankfurter RC/ Frankfurter RG;11626;Hanauer RC Hassia;2025-11-29 16:37:37
630;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia/ DRC Ingolstadt/ Gießener R.G.;1876;Rgm. / / DRC Ingolstadt/ Gießener R.G.;11625;RC Möve Grossauheim;2025-11-29 16:37:37
631;Rgm. Ruderclub Zellingen v. 1946 e.V./ Würzburger Ruderverein Bayern von 1875/1905 e.V.;1888;Rgm. /;11132;Ruderclub Zellingen v. 1946 e.V.;2025-11-29 16:37:37
632;Rgm. Hanauer RG/ Mühlheimer RV;1890;Rgm. /;11627;Hanauer RG;2025-11-29 16:37:37
633;Rgm. RV Hellas Offenbach/ Flörsheimer RV;1898;Rgm. /;11606;Flörsheimer RV;2025-11-29 16:37:37
634;Rgm. Frankfurter RG Germania/ Weilburger RV;1968;Rgm. /;11646;Weilburger RV;2025-11-29 16:37:37
635;Rgm. Marburger RV/ Gießener RC Hassia;1989;Rgm. /;11636;Marburger RV;2025-11-29 16:37:37
636;Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst;1995;Rgm. am Main-Bürgel/;11642;WSV Offenbach;2025-11-29 16:37:37
637;Rgm. Frankfurter RG Germania/ Weilburger RV;2049;Rgm. /;11646;Weilburger RV;2025-11-29 16:37:37
638;Rgm. Nassovia Höchst/ Limburger ClfW/ WSV Offenbach am Main-Bürgel;476;Rgm. / / am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:41
639;Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar;643;Rgm. / /;11647;RG Wetzlar;2025-11-29 16:37:41
640;Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar;1649;Rgm. / /;11647;RG Wetzlar;2025-11-29 16:37:41
641;Rgm. RG Wetzlar/ Marburger RV/ Gießener R.G./ Gießener RC Hassia;1709;Rgm. RG Wetzlar/ / /;11636;Marburger RV;2025-11-29 16:37:41
642;Rgm. Hanauer RC Hassia/ Frankfurter RG Oberrad/ Frankfurter RC/ Frankfurter RG;1872;Rgm. / / / Frankfurter RG;11616;Frankfurter RC;2025-11-29 16:37:41
643;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia/ DRC Ingolstadt/ Gießener R.G.;1876;Rgm. / / / Gießener R.G.;11106;DRC Ingolstadt;2025-11-29 16:37:41
644;Rgm. RG Wetzlar/ Marburger RV/ Gießener R.G./ Gießener RC Hassia;1709;Rgm. / / /;11647;RG Wetzlar;2025-11-29 16:37:43
645;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia/ DRC Ingolstadt/ Gießener R.G.;1876;Rgm. / / /;11624;Gießener R.G.;2025-11-29 16:37:43
