ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
176;;RC Möve Grossauheim;605;2025-11-29 16:37:31
177;;Wormser RC;607;2025-11-29 16:37:31
178;;WSV Hellas Gießen;609;2025-11-29 16:37:31
179;;RC Aschaffenburg;614;2025-11-29 16:37:31
180;;WSV Hellas Gießen;616;2025-11-29 16:37:31
181;;Frankfurter RG Oberrad;620;2025-11-29 16:37:31
182;;Wormser RC;622;2025-11-29 16:37:31
183;Rgm. /;Rgm. RV Hellas Offenbach/ Limburger ClfW;634;2025-11-29 16:37:31
184;;Frauen-RV Freiweg Frankfurt;636;2025-11-29 16:37:31
185;;RG Eberbach;641;2025-11-29 16:37:31
186;Rgm. / /;Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar;643;2025-11-29 16:37:31
187;;Frankfurter RG Germania;646;2025-11-29 16:37:31
188;Rgm. /;Rgm. Hanauer RC Hassia/ RV Dorsten;650;2025-11-29 16:37:31
189;Rgm. /;Rgm. RC Möve Grossauheim/ Mühlheimer RV;653;2025-11-29 16:37:31
190;am Main-Bürgel;WSV Offenbach am Main-Bürgel;656;2025-11-29 16:37:31
191;;RG Wetzlar;661;2025-11-29 16:37:31
192;;RC Möve Grossauheim;663;2025-11-29 16:37:31
193;;SG Wiking;665;2025-11-29 16:37:31
194;;RC Karlstadt;667;2025-11-29 16:37:31
195;;SG Wiking;671;2025-11-29 16:37:31
196;;RC Möve Grossauheim;673;2025-11-29 16:37:31
197;;SG Wiking;675;2025-11-29 16:37:31
198;am Main-Bürgel;WSV Offenbach am Main-Bürgel;679;2025-11-29 16:37:31
199;;Hanauer RG;681;2025-11-29 16:37:31
200;;Hanauer RG;683;2025-11-29 16:37:31
201;;Frankfurter Ruder- und Kanusport Verein;685;2025-11-29 16:37:31
202;;Hanauer RC Hassia;697;2025-11-29 16:37:31
203;;SRR Schillerschule Frankfurt;699;2025-11-29 16:37:31
204;;Frankfurter RC;701;2025-11-29 16:37:31
205;;Limburger ClfW;703;2025-11-29 16:37:31
206;;Frankfurter RC;707;2025-11-29 16:37:31
207;;RC Karlstadt;709;2025-11-29 16:37:31
208;;RC Möve Grossauheim;711;2025-11-29 16:37:31
209;Rgm. /;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;718;2025-11-29 16:37:31
210;;Wormser RC;721;2025-11-29 16:37:31
211;;Nassovia Höchst;723;2025-11-29 16:37:31
212;;Hanauer RC Hassia;727;2025-11-29 16:37:31
213;;Hanauer RG;729;2025-11-29 16:37:31
214;;Frankfurter RG Germania;731;2025-11-29 16:37:31
215;;RC Aschaffenburg;743;2025-11-29 16:37:31
216;;Mühlheimer RV;745;2025-11-29 16:37:31
217;;SG Wiking;747;2025-11-29 16:37:31
218;;Hanauer RG;749;2025-11-29 16:37:31
219;;RV Hellas Offenbach;753;2025-11-29 16:37:31
220;;RG Eberbach;755;2025-11-29 16:37:31
221;am Main-Bürgel;WSV Offenbach am Main-Bürgel;759;2025-11-29 16:37:31
222;;Mühlheimer RV;761;2025-11-29 16:37:31
223;;Wormser RC;767;2025-11-29 16:37:31
224;am Main-Bürgel;WSV Offenbach am Main-Bürgel;769;2025-11-29 16:37:31
225;;Hanauer RG;771;2025-11-29 16:37:31
226;;RC Aschaffenburg;775;2025-11-29 16:37:31
227;;Frankfurter RC;777;2025-11-29 16:37:31
228;;Offenbacher RG Undine;779;2025-11-29 16:37:31
229;;Frankfurter RC;783;2025-11-29 16:37:31
230;;Marburger RV;785;2025-11-29 16:37:31
231;;Limburger ClfW;798;2025-11-29 16:37:31
232;am Main-Bürgel;WSV Offenbach am Main-Bürgel;800;2025-11-29 16:37:31
233;;RC Möve Grossauheim;802;2025-11-29 16:37:31
234;;Frankfurter RG Germania;806;2025-11-29 16:37:31
235;;RC Möve Grossauheim;808;2025-11-29 16:37:31
236;;RC Aschaffenburg;812;2025-11-29 16:37:31
237;;SG Wiking;814;2025-11-29 16:37:31
238;;RC Möve Grossauheim;816;2025-11-29 16:37:31
239;;RC Karlstadt;824;2025-11-29 16:37:31
240;;RC Karlstadt;826;2025-11-29 16:37:31
241;;Marburger RV;831;2025-11-29 16:37:31
242;Rgm. /;Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW;833;2025-11-29 16:37:31
243;Rgm. /;Rgm. Frankfurter RG Borussia/ Gießener RC Hassia;835;2025-11-29 16:37:31
244;;RV Hellas Offenbach;837;2025-11-29 16:37:31
245;;Frankfurter RC;841;2025-11-29 16:37:31
246;;Hanauer RC Hassia;843;2025-11-29 16:37:31
247;;Hanauer RG;845;2025-11-29 16:37:31
248;;Hanauer RC Hassia;854;2025-11-29 16:37:31
249;;Nassovia Höchst;856;2025-11-29 16:37:31
250;;Hanauer RC Hassia;858;2025-11-29 16:37:31
251;;Frankfurter RG Oberrad;862;2025-11-29 16:37:31
252;;Frankfurter RG Oberrad;864;2025-11-29 16:37:31
253;;Frankfurter RG Oberrad;868;2025-11-29 16:37:31
254;;Nassovia Höchst;870;2025-11-29 16:37:31
255;;Hanauer RG;872;2025-11-29 16:37:31
256;;RC Aschaffenburg;882;2025-11-29 16:37:31
257;;SG Wiking;885;2025-11-29 16:37:31
258;;Frankfurter RG Germania;888;2025-11-29 16:37:31
259;;Frankfurter RG Oberrad;891;2025-11-29 16:37:31
260;;Marburger RV;899;2025-11-29 16:37:31
261;Rgm. /;Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW;901;2025-11-29 16:37:31
262;Rgm. /;Rgm. Hanauer RG/ RC Möve Grossauheim;904;2025-11-29 16:37:31
263;Rgm. /;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;914;2025-11-29 16:37:31
264;Rgm. /;Rgm. WSV Hellas Gießen/ RV Kurhessen-Cassel;916;2025-11-29 16:37:31
265;;RC Möve Grossauheim;921;2025-11-29 16:37:31
266;Rgm. /;Rgm. Hanauer RG/ Mühlheimer RV;923;2025-11-29 16:37:31
267;;Frauen-RV Freiweg Frankfurt;925;2025-11-29 16:37:31
268;Rgm. /;Rgm. RV Hellas Offenbach/ Flörsheimer RV;929;2025-11-29 16:37:31
269;;Gießener RC Hassia;931;2025-11-29 16:37:31
270;;SG Wiking;936;2025-11-29 16:37:31
271;;Limburger ClfW;938;2025-11-29 16:37:31
272;;RC Aschaffenburg;940;2025-11-29 16:37:31
273;;RC Karlstadt;944;2025-11-29 16:37:31
274;;Limburger ClfW;946;2025-11-29 16:37:31
275;;Mühlheimer RV;950;2025-11-29 16:37:31
276;;Hanauer RG;952;2025-11-29 16:37:31
277;;Hanauer RG;954;2025-11-29 16:37:31
278;;RV Hellas Offenbach;965;2025-11-29 16:37:31
279;;Mühlheimer RV;967;2025-11-29 16:37:31
280;am Main-Bürgel;WSV Offenbach am Main-Bürgel;969;2025-11-29 16:37:31
281;;RC Möve Grossauheim;971;2025-11-29 16:37:31
282;;RC Aschaffenburg;975;2025-11-29 16:37:31
283;;Frankfurter Ruder- und Kanusport Verein;977;2025-11-29 16:37:31
284;am Main-Bürgel;WSV Offenbach am Main-Bürgel;979;2025-11-29 16:37:31
285;;Mühlheimer RV;981;2025-11-29 16:37:31
286;am Main-Bürgel;WSV Offenbach am Main-Bürgel;985;2025-11-29 16:37:31
287;;Frankfurter RC;987;2025-11-29 16:37:31
288;;Frankfurter RC;994;2025-11-29 16:37:31
289;am Main-Bürgel;WSV Offenbach am Main-Bürgel;996;2025-11-29 16:37:31
290;;Marburger RV;998;2025-11-29 16:37:31
291;Rgm. /;Rgm. Frankfurter RG Germania/ Weilburger RV;1011;2025-11-29 16:37:31
292;;Frankfurter RG Oberrad;1013;2025-11-29 16:37:31
293;;Hanauer RC Hassia;1015;2025-11-29 16:37:31
294;;Frankfurter RC;1019;2025-11-29 16:37:31
295;;Nassovia Höchst;1021;2025-11-29 16:37:31
296;;RG Eberbach;1023;2025-11-29 16:37:31
297;;Frankfurter RG Oberrad;1027;2025-11-29 16:37:31
298;;Frankfurter RC;1029;2025-11-29 16:37:31
299;;RG Wetzlar;1031;2025-11-29 16:37:31
300;;Hanauer RC Hassia;1037;2025-11-29 16:37:31
301;;Frankfurter RG Germania;1039;2025-11-29 16:37:31
302;;RG Eberbach;1041;2025-11-29 16:37:31
303;;Hanauer RG;1043;2025-11-29 16:37:31
304;Rgm. am Main-Bürgel/;Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst;1047;2025-11-29 16:37:31
305;Rgm. /;Rgm. Marburger RV/ Gießener RC Hassia;1049;2025-11-29 16:37:31
306;;Wormser RC;1051;2025-11-29 16:37:31
307;;RC Möve Grossauheim;1055;2025-11-29 16:37:31
308;;Frankfurter RG Oberrad;1057;2025-11-29 16:37:31
309;;Limburger ClfW;1064;2025-11-29 16:37:31
310;;Frauen-RV Freiweg Frankfurt;1066;2025-11-29 16:37:31
311;;RC Möve Grossauheim;1075;2025-11-29 16:37:31
312;;Frankfurter RG Oberrad;1077;2025-11-29 16:37:31
313;;Frankfurter RG Oberrad;1081;2025-11-29 16:37:31
314;;Frankfurter RG Oberrad;1083;2025-11-29 16:37:31
315;;RC Möve Grossauheim;1085;2025-11-29 16:37:31
316;;RC Aschaffenburg;1089;2025-11-29 16:37:31
317;;Frankfurter RG Oberrad;1091;2025-11-29 16:37:31
318;;SG Wiking;1099;2025-11-29 16:37:31
319;;Frankfurter RG Germania;1102;2025-11-29 16:37:31
320;Rgm. /;Rgm. Frankfurter RG Germania/ Weilburger RV;1111;2025-11-29 16:37:31
321;Rgm. /;Rgm. Hanauer RC Hassia/ RV Dorsten;1114;2025-11-29 16:37:31
322;;Frankfurter RG Oberrad;1117;2025-11-29 16:37:31
323;;RV Hellas Offenbach;1129;2025-11-29 16:37:31
324;;SG Wiking;1131;2025-11-29 16:37:31
325;;Hanauer RG;1133;2025-11-29 16:37:31
326;;RG Eberbach;1137;2025-11-29 16:37:31
327;;Mühlheimer RV;1139;2025-11-29 16:37:31
328;;SG Wiking;1141;2025-11-29 16:37:31
329;;Frankfurter RG Oberrad;1145;2025-11-29 16:37:31
330;;Hanauer RG;1147;2025-11-29 16:37:31
331;;RG Wetzlar;1149;2025-11-29 16:37:31
332;;RC Karlstadt;1153;2025-11-29 16:37:31
333;;Wormser RC;1155;2025-11-29 16:37:31
334;;RG Eberbach;1157;2025-11-29 16:37:31
335;;Frankfurter RG Oberrad;1161;2025-11-29 16:37:31
336;;Hanauer RG;1163;2025-11-29 16:37:31
337;;Wormser RC;1173;2025-11-29 16:37:31
338;;RG Wetzlar;1175;2025-11-29 16:37:31
339;;Marburger RV;1177;2025-11-29 16:37:31
340;;Hanauer RG;1181;2025-11-29 16:37:31
341;;WSV Hellas Gießen;1183;2025-11-29 16:37:31
342;;Frankfurter RG Germania;1194;2025-11-29 16:37:31
343;;SG Wiking;1196;2025-11-29 16:37:31
344;;RC Möve Grossauheim;1198;2025-11-29 16:37:31
345;;Frankfurter RG Oberrad;1202;2025-11-29 16:37:31
346;;SG Wiking;1204;2025-11-29 16:37:31
347;;Frankfurter RG Germania;1208;2025-11-29 16:37:31
348;;Frankfurter RG Germania;1210;2025-11-29 16:37:31
349;;Frankfurter RG Oberrad;1212;2025-11-29 16:37:31
350;;Hanauer RG;1216;2025-11-29 16:37:31
351;;Frankfurter RC;1218;2025-11-29 16:37:31
352;;Mühlheimer RV;1220;2025-11-29 16:37:31
353;am Main-Bürgel;WSV Offenbach am Main-Bürgel;1229;2025-11-29 16:37:31
354;am Main-Bürgel;WSV Offenbach am Main-Bürgel;1231;2025-11-29 16:37:31
355;;SG Wiking;1233;2025-11-29 16:37:31
356;;RC Aschaffenburg;1237;2025-11-29 16:37:31
357;;RG Wetzlar;1239;2025-11-29 16:37:31
358;;SG Wiking;1241;2025-11-29 16:37:31
359;;RG Eberbach;1245;2025-11-29 16:37:31
360;;Hanauer RG;1247;2025-11-29 16:37:31
361;Rgm. /;Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt;1260;2025-11-29 16:37:31
362;;Frankfurter RC;1263;2025-11-29 16:37:31
363;;Offenbacher RG Undine;1269;2025-11-29 16:37:31
364;;RG Eberbach;1271;2025-11-29 16:37:31
365;Rgm. /;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1273;2025-11-29 16:37:31
366;;Marburger RV;1280;2025-11-29 16:37:31
367;;Hanauer RG;1282;2025-11-29 16:37:31
368;;Frankfurter RG Borussia;1286;2025-11-29 16:37:31
369;;RV Hellas Offenbach;1288;2025-11-29 16:37:31
370;;Hanauer RC Hassia;1292;2025-11-29 16:37:31
371;;RG Wetzlar;1294;2025-11-29 16:37:31
372;;Hanauer RC Hassia;1305;2025-11-29 16:37:31
