"PrimaryKey";"Verein_DRVID";"Verein";"Lettern";"Kurzident";"Kurzident2";"AnzahlKurzIdent";"ErstesVereinZeichen";"Knüpf";"Laenge"
140;11959;"Renn-Rudergemeinschaft Mülheim-Ruhr (RRGM) e. V.";"RRGMM";"Mülheim";"renn";2;"R";"K";48
141;11228;"Ruder-Riege der Turngemeinde in Berlin 1848 e.V.";"RRTiB";"berlin";"turng";2;"R";"K";48
142;11935;"Ruderverein 'Emscher' Wanne-Eickel Herten, Herne";"RV Emscher";"emscher";"Herne";2;"R";"K";48
143;11609;"Frauen-Ruderverein ""Freiweg"" Frankfurt e.V. 1927";"FRVF";"Frankfurt";"freiweg";2;"F";"K";48
144;11614;"Frankfurter Ruder-Gesellschaft Oberrad 1879 e.V.";"FRGO";"Frankfurt";"oberra";2;"F";"K";48
145;11651;"Kasteler Ruder- und Kanu- Gesellschaft 1880 e.V.";"KRKG";"kastel";;1;"K";"K";48
146;12303;"Hallesche Rudervereinigung Böllberg/Nelson e. V.";"HRBN";"böll";;1;"H";"K";48
147;11228;"Ruder-Riege der Turngemeinde in Berlin 1848 e.V.";"RR Turngemeinde";"berlin";"turng";2;"R";"K";48
148;15818;"Ruderriege ""Schaumburgia"" am Adolfinum Bückeburg";"RRSAB";"Schaumburg";"adolf";2;"R";"K";48
149;11135;"Würzburger Ruderverein Bayern von 1875/1905 e.V.";"WRVB";"Würzb";"bayer";2;"W";"K";48
150;11980;"Ruderclub Schieder am Emmerstausee von 1985 e.V.";"RCS";"Emmerstausee";;1;"R";"K";48
151;11971;"Ruder-, Hockey- und Tanzsport-Club von 1901 e.V.";"RHTC";"Tanzsport";;1;"R";"K";48
152;15514;"Schülerruderriege am Matthias-Claudius-Gymnasium";"SRR MCG";"claudiu";;1;"S";"K";48
153;12105;"Olympische Rennrudergemeinschaft ""Südwest"" e.V.";"ORRS";"südw";"olymp";2;"O";"K";47
154;11642;"Wassersportverein 1926 Offenbach am Main-Bürgel";"WSVO";"bürgel";;1;"W";"K";47
155;12042;"Olympische Rennrudergemeinschaft ""Südwest"" e.V.";"ORRG";"südw";"olymp";2;"O";"K";47
156;40001;"Regatta-Verband Ems-Jade-Weser / Team Nord West";"Team Nord West";"Jade";"rv";2;"R";"K";47
157;11962;"Akademischer Ruderverein Westfalen Münster e.V.";"ARVWM";"westfal";"akad";2;"A";"K";47
158;11845;"Ruder-Verein Osterholz-Scharmbeck von 1901 e.V.";"RV OSCH";"Scharmbeck";;1;"R";"K";47
159;16428;"SWSV am Hans-Geiger-Gymnasium v. 1976 Kiel e.V.";"SWSV HGG";"Kiel";"geiger";2;"S";"K";47
160;11648;"Rudergesellschaft Wiesbaden- Biebrich 1888 e.V.";"RGWB";"Biebr";;1;"R";"K";47
161;15804;"RR am Kaiserin-Auguste-Viktoria-Gymnasium Celle";"RRKAVC";"kaiser";"auguste";2;"R";"K";47
162;99972;"ORRC Wiking Kiel (SRV an der Max-Planck-Schule)";;"Kiel";"wiking";2;"O";"K";47
163;12428;"Rudergesellschaft ""Titania"" Mölln von 2012 e.V.";"RGTM";"mölln";"tit";2;"R";"K";47
