ID_MSACCESS;Datum;Regatta;Jahr;Wasser-Ergo;Original-Reg-Text;Bermerkung;Saison;Oeffentlich;Zeitformat;Zwischenzeiten;MasterID;EnemyMine;use;2ter_Durchlauf;PDFForm;anlegeDatum
46;08.09.2024;Leer8Sep2024;2024;Rudern;Leer8Sep204;;24;1;M:SS,Z;nein;ja;ja;;;;
47;08.09.2024;Limburg9Sep2024;2024;Rudern;Limburg9Sep2024;500;24;1;M:SS,Z;nein;ja;ja;;;;
48;03.09.2023;Limburg3Sep2023;2023;Rudern;Limburg3Sep2023;500;23;1;M:SS,Z;nein;ja;ja;;;;
49;04.06.2023;HamburgJunior23;2023;Rudern;HamburgJunior23;1500/2000;23;1;MM:SS.ZZ;nein;ja;ja;;;;
50;26.05.2024;HamburgJunior24;2024;Rudern;HamburgJunior24;1500/2000;24;1;MM:SS.ZZ;ja;ja;ja;;;;
51;07.05.2023;München7Mai23;2023;Rudern;München 7 Mai 2023;1500/2000;23;1;M:SS.Z;ja;ja;ja;;;;
52;22.09.2024;GrossAuheim22Sep2024;2024;Rudern;GrossAuheim22Sep2024;500;24;1;M:SS.ZZ;;ja;ja;;;;
53;28.11.2021;DortmundLS2021;2021;Rudern;DortmundLS2021;6000;21;1;M:SS;ja;ja;ja;ja;;;
54;26.11.2022;DortmundLS2022;2022;Rudern;DortmundLS2022;6000;22;1;M:SS;ja;ja;ja;ja;;;
55;03.12.2023;DortmundLS2023;2023;Rudern;DortmundLS2023;6000;23/24;1;MM:SS;ja;ja;ja;ja;;;
56;01.12.2012;DortmundLS2012;2012;Rudern;DortmundLS2012;;12/13;1;MM:SS;ja;ja;ja;;;;
57;08.09.2019;BWMü9Sep2019;2019;Rudern;BW München 8 Sep 2019;3000/1000;19;1;MM:SS.ZZ;nein;ja;ja;;;;
58;14.02.2022;LudwigErgo14Feb2022;2022;Erg;LudwigErgo14Feb2022;350/1000/1500/2000;22;1;MM:SS.ZZ;nein;ja;ja;;;;
59;10.02.2019;MittelDeuErg10Feb2019;2019;Erg;MittelDeuErg10Feb2019;;19;1;;;ja;ja;;;;
