"MasterID";"ErgZeiOrig";"WorldTyp";"Regatta";"WoFISARegat";"WBJahr";"WBZeitopen";"WBZeitZehntopen";"LandderMannschaft";"WBMannschaft";"RennTyp";"RenntypTrefferID";"U19U23openPR";"WorldBestU1923";"WorldBestU1923Zehntel";"WorldopenMasterID"
204200;"World Champion: ROU SCUTARU I. / FLOREA A. / OLARIU S / DRAGHICI BE St. Catharines (CAN) 2024 World Championships 7:06.42";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ROU";"SCUTARU I. / FLOREA A. / OLARIU S / DRAGHICI BE";"JW 4-";40;;;0;0
204224;"World Best: CHN CHEN Y. / ZHANG L. / LYU Y. / CUI X. Tokyo (JPN) 2021 Olympic Games 6:05.13";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"6:05.13";"36513";"CHN";"CHEN Y. / ZHANG L. / LYU Y. / CUI X.";"JW 4x";45;"open";;0;0
204225;"U19 World Champ' Best: GER THIELE K. / STEINLE A. / BACHMANN A / FOESTER A Racice (CZE) 2018 World Championships 6:23.85";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:05.13";"36513";"GER";"THIELE K. / STEINLE A. / BACHMANN A / FOESTER A";"JW 4x";45;"U19";"6:23.85";38385;204224
204226;"World Champion: ITA de VINCENZI N. / RAVINI PERELLI B. / MASCHERONI V / SCHINCARIOL M. St. Catharines (CAN) 2024 World Championships 6:56.14";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ITA";"de VINCENZI N. / RAVINI PERELLI B. / MASCHERONI V / SCHINCARIOL M.";"JW 4x";45;;;0;0
204262;"World Best: CHN CHEN Y. / ZHANG L. / LYU Y. / CUI X. Tokyo (JPN) 2021 Olympic Games 6:05.13";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"6:05.13";"36513";"CHN";"CHEN Y. / ZHANG L. / LYU Y. / CUI X.";"JW 4x";45;"open";;0;0
204263;"U19 World Champ' Best: GER THIELE K. / STEINLE A. / BACHMANN A / FOESTER A Racice (CZE) 2018 World Championships 6:23.85";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:05.13";"36513";"GER";"THIELE K. / STEINLE A. / BACHMANN A / FOESTER A";"JW 4x";45;"U19";"6:23.85";38385;204262
204264;"World Champion: ITA de VINCENZI N. / RAVINI PERELLI B. / MASCHERONI V / SCHINCARIOL M. St. Catharines (CAN) 2024 World Championships 6:56.14";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ITA";"de VINCENZI N. / RAVINI PERELLI B. / MASCHERONI V / SCHINCARIOL M.";"JW 4x";45;;;0;0
204364;"World Best: ROU Romania Tokyo (JPN) 2021 Olympic Games 5:52.99";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"5:52.99";"35299";"ROU";"Romania";"JW 8+";50;"open";;0;0
204365;"U19 World Champ' Best: USA United States of America Varese (ITA) 2022 World Championships 6:12.16";"U19WorldBest";"JWM_Trakai_25_ALL";"Varese (ITA) 2022 World Championships";"2022";"5:52.99";"35299";"USA";"United States of America";"JW 8+";50;"U19";"6:12.16";37216;204364
204366;"World Champion: USA United States of America St. Catharines (CAN) 2024 World Championships 6:39.57";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"USA";"United States of America";"JW 8+";50;;;0;0
206426;"World Best: NZL MURRAY Eric / BOND Hamish London (GBR) 2012 Olympic Games 6:08.50";"WorldBest";"JWM_Trakai_25_ALL";"London (GBR) 2012 Olympic Games";"2012";"6:08.50";"36850";"NZL";"MURRAY Eric / BOND Hamish";"JM 2-";75;"open";;0;0
206427;"U19 World Champ' Best: CRO LONCARIC Patrik / LONCARIC Anton Racice (CZE) 2018 World Championships 6:27.91";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:08.50";"36850";"CRO";"LONCARIC Patrik / LONCARIC Anton";"JM 2-";75;"U19";"6:27.91";38791;206426
206428;"World Champion: ROU COZMINCIUC Mateus-Simion / SCRIPCARIU Fabrizio-Alexand St. Catharines (CAN) 2024 World Championships 7:03.69";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ROU";"COZMINCIUC Mateus-Simion / SCRIPCARIU Fabrizio-Alexand";"JM 2-";75;;;0;0
