"IDEssenz";"IDEssenzFISA";"MinvonIDIntern";"MinvonErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
224;;541;"Lgw.Mädchen 12 Jahre";"Mäd 12 LG";"Mäd 12 LG";"Ergo";"Mäd";"K";;"12";;"LG";;;;;;;;;;;"W";"F";;
225;;658;"Mädchen 12-14 Jahre";"Mäd 12-14";"Mäd 12-14";"Ergo";"Mäd";"K";;"12-14";;;;;;;;;;;;;"W";"F";;
226;;577;"Mäd 13";"Mäd 13";"Mäd 13";"Ergo";"Mäd";"K";;"13";;;;;;;;;;;;;"W";"F";;
227;;542;"Lgw.Mädchen 13 Jahre";"Mäd 13 LG";"Mäd 13 LG";"Ergo";"Mäd";"K";;"13";;"LG";;;;;;;;;;;"W";"F";;
228;;580;"Mäd 13/14";"Mäd 13/14";"Mäd 13/14";"Ergo";"Mäd";"K";;"13/14";;;;;;;;;;;;;"W";"F";;
229;;667;"Mädchen 13/14 Jahre";"Mäd 13/14";"Mäd 13/14";"Ergo";"Mäd";"K";;"13/14";"";;;;;;;;;;;;"W";"F";;
230;;582;"Mäd 14";"Mäd 14";"Mäd 14";"Ergo";"Mäd";"K";;"14";;;;;;;;;;;;;"W";"F";;
231;;583;"Mäd 14 Jahre und jünger";"Mäd 14";"Mäd 14 u.j.";"Ergo";"Mäd";"K";;"14";"u.j.";;;;;;;;;;;;"W";"F";;
232;;544;"Lgw.Mädchen 14 Jahre";"Mäd 14 LG";"Mäd 14 LG";"Ergo";"Mäd";"K";;"14";;"LG";;;;;;;;;;;"W";"F";;
233;;586;"Mäd 1x 10/11";"Mäd 1x 10/11";"Mäd 1x 10/11";"Boot";"Mäd";"K";"1x";"10/11";;;372;;;;;;;"no";"10-11";"10/11";"W";"F";;1
234;;588;"Mäd 1x 11";"Mäd 1x 11";"Mäd 1x 11";"Boot";"Mäd";"K";"1x";"11";;;392;;;;;;;"no";"11";"11";"W";"F";;1
235;;590;"Mäd 1x 11 u. 12 Jahre";"Mäd 1x 11/12";"Mäd 1x 11/12";"Boot";"Mäd";"K";"1x";"11/12";;;128;;;;;;;"no";"12 and Under";"11/12";"W";"F";;1
236;;593;"Mäd 1x 12";"Mäd 1x 12";"Mäd 1x 12";"Boot";"Mäd";"K";"1x";"12";;;327;;;;;;;;;;"W";"F";;1
237;;1225;"Mäd 1x 12 u.j.";"Mäd 1x 12";"Mäd 1x 12 u.j.";"Boot";"Mäd";"K";"1x";"12";"u.j.";;327;;;;;;;"no";"12 and Under";"12";"W";"F";;1
238;;548;"Lgw.Mädchen-Einer 12 Jahre";"Mäd 1x 12 LG";"Mäd 1x 12 LG";"Boot";"Mäd";"K";"1x";"12";;"LG";246;;;;;;;"no";"12 and Under";"12";"W";"F";;1
239;;598;"Mäd 1x 12+13";"Mäd 1x 12/13";"Mäd 1x 12/13";"Boot";"Mäd";"K";"1x";"12/13";;;399;;;;;;;"no";"13-14";"12/13";"W";"F";;1
240;;682;"Mädchen-Einer 12/13 Jahre";"Mäd 1x 12/13";"Mäd 1x 12/13";"Boot";"Mäd";"K";"1x";"12/13";"";;399;;;;;;;;;;"W";"F";;1
241;;599;"Mäd 1x 12+13 LG";"Mäd 1x 12/13 LG";"Mäd 1x 12/13 LG";"Boot";"Mäd";"K";"1x";"12/13";;"LG";253;;;;;;;"no";"12 and Under";"12/13";"W";"F";;1
242;;600;"Mäd 1x 13";"Mäd 1x 13";"Mäd 1x 13";"Boot";"Mäd";"K";"1x";"13";;;328;;;;;;;"no";"13-14";"13";"W";"F";;1
243;;549;"Lgw.Mädchen-Einer 13 Jahre";"Mäd 1x 13 LG";"Mäd 1x 13 LG";"Boot";"Mäd";"K";"1x";"13";;"LG";77;;;;;;;"no";"13-14";"13";"W";"F";;1
244;;609;"Mäd 1x 14";"Mäd 1x 14";"Mäd 1x 14";"Boot";"Mäd";"K";"1x";"14";;;421;;;;;;;"no";"13-14";"14";"W";"F";;1
245;;550;"Lgw.Mädchen-Einer 14 Jahre";"Mäd 1x 14 LG";"Mäd 1x 14 LG";"Boot";"Mäd";"K";"1x";"14";;"LG";402;;;;;;;"no";"13-14";"14";"W";"F";;1
246;;631;"Mäd 2x 13 u. 14 Jahre";"Mäd 2x";"Mäd 2x";"Boot";"Mäd";"K";"2x";;"";;;;;;;;;;;;"W";"F";;2
247;;619;"Mäd 2x 10/11";"Mäd 2x 10/11";"Mäd 2x 10/11";"Boot";"Mäd";"K";"2x";"10/11";;;374;;;;;;;"no";"10-11";"10/11";"W";"F";;2
248;;621;"Mäd 2x 11 u. 12 Jahre I-III";"Mäd 2x 11/12";"Mäd 2x 11/12";"Boot";"Mäd";"K";"2x";"11/12";;;357;;;;;;;"no";"11-12";"11/12";"W";"F";;2
249;;627;"Mäd 2x 12 u. jüng";"Mäd 2x 12";"Mäd 2x 12 u.j.";"Boot";"Mäd";"K";"2x";"12";"u.j.";;83;;;;;;;"no";"12 and Under";"12";"W";"F";;2
250;;625;"Mäd 2x 12 u. 13 Jahre";"Mäd 2x 12/13";"Mäd 2x 12/13";"Boot";"Mäd";"K";"2x";"12/13";;;101;;;;;;;"no";"13-14";"12/13";"W";"F";;2
251;;546;"Lgw.Mädchen-Doppelzweier 12 u. 13 Jahre";"Mäd 2x 12/13 LG";"Mäd 2x 12/13 LG";"Boot";"Mäd";"K";"2x";"12/13";;"LG";100;;;;;;;"no";"13-14";"12/13";"W";"F";;2
252;;634;"Mäd 2x 13/14";"Mäd 2x 13/14";"Mäd 2x 13/14";"Boot";"Mäd";"K";"2x";"13/14";;;103;;;;;;;"no";"13-14";"13/14";"W";"F";;2
253;;635;"Mäd 2x 13/14 LG";"Mäd 2x 13/14 LG";"Mäd 2x 13/14 LG";"Boot";"Mäd";"K";"2x";"13/14";;"LG";105;;;;;;;"no";"13-14";"13/14";"W";"F";;2
254;;547;"Lgw.Mädchen-Doppelzweier 13 u. 14 Jahre";"Mäd 2x LG";"Mäd 2x LG";"Boot";"Mäd";"K";"2x";;"";"LG";;;;;;;;;;;"W";"F";;2
255;;642;"Mäd 4x+ 13 u. 14 Jahre";"Mäd 4x+";"Mäd 4x+";"Boot";"Mäd";"K";"4x+";;"";;;;;;;;;;;;"W";"F";;5
256;;685;"Mädchen-Vierer 12 Jahre u.j.";"Mäd 4x+ 12";"Mäd 4x+ 12 u.j.";"Boot";"Mäd";"K";"4x+";"12";"u.j.";;84;;;;;;;"no";"12 and Under";"12";"W";"F";;5
257;;639;"Mäd 4x+ 12 u. 13 Jahre I-III";"Mäd 4x+ 12/13";"Mäd 4x+ 12/13";"Boot";"Mäd";"K";"4x+";"12/13";;;353;;;;;;;"no";"13-14";"12/13";"W";"F";;5
258;;488;"Kinder Mädchen-Vierer 13/14";"Mäd 4x+ 13/14";"Mäd 4x+ 13/14";"Boot";"Mäd";"K";"4x+";"13/14";;;111;;;;;;;;;;"W";"F";;5
259;;674;"Mädchen Vierer 13/14 Jahre";"Mäd 4x+ 13/14";"Mäd 4x+ 13/14";"Boot";"Mäd";"K";"4x+";"13/14";"";;111;;;;;;;"no";"13-14";"13/14";"W";"F";;5
260;;645;"Mäd 4x+ 14 u. jüng";"Mäd 4x+ 14";"Mäd 4x+ 14 u.j.";"Boot";"Mäd";"K";"4x+";"14";"u.j.";;;;;;;;;;;;"W";"F";;5
261;;1188;"MM 0 FUN";"MM";"MM FUN";"Ergo";"MM";"M";;;"FUN";;;;;;;;;;;;"M";"M";;
262;;756;"MM 1x";"MM 1x";"MM 1x";"Boot";"MM";"M";"1x";;;;375;;;;;;;;;;"M";"M";;1
263;;723;"Männer-Einer ADH";"MM 1x";"MM 1x ADH";"Boot";"MM";"M";"1x";;"ADH";;375;;;;;;;"Hwt";"27-64";"27/64";"M";"M";;1
264;;724;"Männer-Einer MA 27";"MM 1x A";"MM 1x A";"Boot";"MM";"M";"1x";"A";;;299;;;;;;;"Hwt";"27-35";"27/35";"M";"M";;1
265;;555;"Lgw.Männer-Einer MA 27";"MM 1x A LG";"MM 1x A LG";"Boot";"MM";"M";"1x";"A";;"LG";;;;;;;;;;;"M";"M";;1
266;;760;"MM 1x A/C/E/G/I/K/M";"MM 1x A/C/E/G/I/K/M";"MM 1x A/C/E/G/I/K/M";"Boot";"MM";"M";"1x";"A/C/E/G/I/K/M";;;;;;;;;;;;;"M";"M";;1
267;;762;"MM 1x A-F";"MM 1x A-F";"MM 1x A-F";"Boot";"MM";"M";"1x";"A-F";;;;;;;;;;;;;"M";"M";;1
268;;763;"MM 1x A-K";"MM 1x A-K";"MM 1x A-K";"Boot";"MM";"M";"1x";"A-K";;;;;;;;;;;;;"M";"M";;1
269;;764;"MM 1x B";"MM 1x B";"MM 1x B";"Boot";"MM";"M";"1x";"B";;;300;;;;;;;"Hwt";"36-42";"36/42";"M";"M";;1
270;;766;"MM 1x B/D/F/H/J/L";"MM 1x B/D/F/H/J/L";"MM 1x B/D/F/H/J/L";"Boot";"MM";"M";"1x";"B/D/F/H/J/L";;;;;;;;;;;;;"M";"M";;1
271;;725;"Männer-Einer MA 43";"MM 1x C";"MM 1x C";"Boot";"MM";"M";"1x";"C";;;301;;;;;;;"Hwt";"43-49";"43/49";"M";"M";;1
272;;726;"Männer-Einer MA 50";"MM 1x D";"MM 1x D";"Boot";"MM";"M";"1x";"D";;;302;;;;;;;"Hwt";"50-54";"50/54";"M";"M";;1
273;;727;"Männer-Einer MA 55";"MM 1x E";"MM 1x E";"Boot";"MM";"M";"1x";"E";;;303;;;;;;;"Hwt";"55-59";"55/59";"M";"M";;1
274;;774;"MM 1x E-H";"MM 1x E-H";"MM 1x E-H";"Boot";"MM";"M";"1x";"E-H";;;;;;;;;;;;;"M";"M";;1
275;;728;"Männer-Einer MA 60";"MM 1x F";"MM 1x F";"Boot";"MM";"M";"1x";"F";;;304;;;;;;;"Hwt";"60-64";"60/64";"M";"M";;1
276;;729;"Männer-Einer MA 65";"MM 1x G";"MM 1x G";"Boot";"MM";"M";"1x";"G";;;305;;;;;;;"Hwt";"65-69";"65/69";"M";"M";;1
277;;778;"MM 1x H";"MM 1x H";"MM 1x H";"Boot";"MM";"M";"1x";"H";;;306;;;;;;;"Hwt";"70-74";"70/74";"M";"M";;1
278;;730;"Männer-Einer MA75";"MM 1x I";"MM 1x I";"Boot";"MM";"M";"1x";"I";;;;;;;;;;;;;"M";"M";;1
279;;781;"MM 1x J";"MM 1x J";"MM 1x J";"Boot";"MM";"M";"1x";"J";;;308;;;;;;;"Hwt";"80-82";"80/82";"M";"M";;1
280;;554;"Lgw.Männer-Einer ADH";"MM 1x LG";"MM 1x LG ADH";"Boot";"MM";"M";"1x";;"ADH";"LG";;;;;;;;;;;"M";"M";;1
281;;782;"MM 2-";"MM 2-";"MM 2-";"Boot";"MM";"M";"2-";;;;;;;;;;;;;;"M";"M";;2
282;;783;"MM 2- A";"MM 2- A";"MM 2- A";"Boot";"MM";"M";"2-";"A";;;381;;;;;;;"Hwt";"27-64";"27/64";"M";"M";;2
283;;784;"MM 2- C";"MM 2- C";"MM 2- C";"Boot";"MM";"M";"2-";"C";;;;;;;;;;;;;"M";"M";;2
284;;785;"MM 2- E";"MM 2- E";"MM 2- E";"Boot";"MM";"M";"2-";"E";;;;;;;;;;;;;"M";"M";;2
285;;786;"MM 2x";"MM 2x";"MM 2x";"Boot";"MM";"M";"2x";;;;362;;;;;;;"Hwt";"27-64";"27/64";"M";"M";;2
286;;787;"MM 2x A/C/E/G/I/K/M";"MM 2x A/C/E/G/I/K/M";"MM 2x A/C/E/G/I/K/M";"Boot";"MM";"M";"2x";"A/C/E/G/I/K/M";;;;;;;;;;;;;"M";"M";;2
287;;789;"MM 2x A-F";"MM 2x A-F";"MM 2x A-F";"Boot";"MM";"M";"2x";"A-F";;;;;;;;;;;;;"M";"M";;2
288;;790;"MM 2x A-K";"MM 2x A-K";"MM 2x A-K";"Boot";"MM";"M";"2x";"A-K";;;;;;;;;;;;;"M";"M";;2
289;;791;"MM 2x B";"MM 2x B";"MM 2x B";"Boot";"MM";"M";"2x";"B";;;;;;;;;;;;;"M";"M";;2
290;;792;"MM 2x B/D/F/H/J/L";"MM 2x B/D/F/H/J/L";"MM 2x B/D/F/H/J/L";"Boot";"MM";"M";"2x";"B/D/F/H/J/L";;;;;;;;;;;;;"M";"M";;2
291;;794;"MM 2x C";"MM 2x C";"MM 2x C";"Boot";"MM";"M";"2x";"C";;;;;;;;;;;;;"M";"M";;2
292;;3;"MM 2x D";"MM 2x D";"MM 2x D";"Boot";"MM";"M";"2x";"D";;;;;;;;;;;;;"M";"M";;2
293;;5;"MM 2x E";"MM 2x E";"MM 2x E";"Boot";"MM";"M";"2x";"E";;;;;;;;;;;;;"M";"M";;2
294;;797;"MM 2x F";"MM 2x F";"MM 2x F";"Boot";"MM";"M";"2x";"F";;;;;;;;;;;;;"M";"M";;2
295;;798;"MM 2x G";"MM 2x G";"MM 2x G";"Boot";"MM";"M";"2x";"G";;;;;;;;;;;;;"M";"M";;2
296;;799;"MM 2x H";"MM 2x H";"MM 2x H";"Boot";"MM";"M";"2x";"H";;;;;;;;;;;;;"M";"M";;2
297;;1251;"MM A 30-39";"MM 30-39";"MM 30-39";"Ergo";"MM";"M";;"30-39";;;;;;;;;;;;;"M";"M";;
298;;688;"Männer 30-39 Jahre";"MM 30-39";"MM 30-39";"Ergo";"MM";"M";;"30-39";"";;;;;;;;;;;;"M";"M";;
299;;800;"MM 4- A/C/E/G/I/K/M";"MM 4- A/C/E/G/I/K/M";"MM 4- A/C/E/G/I/K/M";"Boot";"MM";"M";"4-";"A/C/E/G/I/K/M";;;;;;;;;;;;;"M";"M";;4
300;;802;"MM 4- A-K";"MM 4- A-K";"MM 4- A-K";"Boot";"MM";"M";"4-";"A-K";;;;;;;;;;;;;"M";"M";;4
301;;803;"MM 4- B";"MM 4- B";"MM 4- B";"Boot";"MM";"M";"4-";"B";;;;;;;;;;;;;"M";"M";;4
302;;804;"MM 4- B/D/F/H/J/L";"MM 4- B/D/F/H/J/L";"MM 4- B/D/F/H/J/L";"Boot";"MM";"M";"4-";"B/D/F/H/J/L";;;;;;;;;;;;;"M";"M";;4
303;;805;"MM 4- D";"MM 4- D";"MM 4- D";"Boot";"MM";"M";"4-";"D";;;;;;;;;;;;;"M";"M";;4
304;;806;"MM 4- F";"MM 4- F";"MM 4- F";"Boot";"MM";"M";"4-";"F";;;;;;;;;;;;;"M";"M";;4
305;;807;"MM 4+";"MM 4+";"MM 4+";"Boot";"MM";"M";"4+";;;;;;;;;;;;;;"M";"M";;5
306;;808;"MM 4+ A/C/E/G/I/K/M";"MM 4+ A/C/E/G/I/K/M";"MM 4+ A/C/E/G/I/K/M";"Boot";"MM";"M";"4+";"A/C/E/G/I/K/M";;;;;;;;;;;;;"M";"M";;5
307;;809;"MM 4+ A-K";"MM 4+ A-K";"MM 4+ A-K";"Boot";"MM";"M";"4+";"A-K";;;;;;;;;;;;;"M";"M";;5
308;;810;"MM 4+ B/D/F/H/J/L";"MM 4+ B/D/F/H/J/L";"MM 4+ B/D/F/H/J/L";"Boot";"MM";"M";"4+";"B/D/F/H/J/L";;;;;;;;;;;;;"M";"M";;5
309;;1258;"MM B 40-49";"MM 40-49";"MM 40-49";"Ergo";"MM";"M";;"40-49";;;;;;;;;;;;;"M";"M";;
310;;691;"Männer 40-49 Jahre";"MM 40-49";"MM 40-49";"Ergo";"MM";"M";;"40-49";"";;;;;;;;;;;;"M";"M";;
311;;1259;"MM B 40-49 Lgw";"MM 40-49 LG";"MM 40-49 LG";"Ergo";"MM";"M";;"40-49";;"LG";;;;;;;;;;;"M";"M";;
312;;811;"MM 4x";"MM 4x-";"MM 4x-";"Boot";"MM";"M";"4x-";;;;376;;;;;;;"Hwt";;;"M";"M";;4
313;;719;"Männer-Doppelvierer ADH";"MM 4x-";"MM 4x- ADH";"Boot";"MM";"M";"4x-";;"ADH";;376;;;;;;;;;;"M";"M";;4
314;;812;"MM 4x A/C/E/G/I/K/M";"MM 4x- A/C/E/G/I/K/M";"MM 4x- A/C/E/G/I/K/M";"Boot";"MM";"M";"4x-";"A/C/E/G/I/K/M";;;;;;;;;;;;;"M";"M";;4
315;;814;"MM 4x A-F";"MM 4x- A-F";"MM 4x- A-F";"Boot";"MM";"M";"4x-";"A-F";;;;;;;;;;;;;"M";"M";;4
316;;815;"MM 4x A-H";"MM 4x- A-H";"MM 4x- A-H";"Boot";"MM";"M";"4x-";"A-H";;;;;;;;;;;;;"M";"M";;4
317;;817;"MM 4x A-K";"MM 4x- A-K";"MM 4x- A-K";"Boot";"MM";"M";"4x-";"A-K";;;;;;;;;;;;;"M";"M";;4
318;;818;"MM 4x B";"MM 4x- B";"MM 4x- B";"Boot";"MM";"M";"4x-";"B";;;;;;;;;;;;;"M";"M";;4
319;;819;"MM 4x B/D/F/H/J/L";"MM 4x- B/D/F/H/J/L";"MM 4x- B/D/F/H/J/L";"Boot";"MM";"M";"4x-";"B/D/F/H/J/L";;;;;;;;;;;;;"M";"M";;4
320;;720;"Männer-Doppelvierer MA 27-MDA 70 Altersklasse C";"MM 4x- C";"MM 4x- C";"Boot";"MM";"M";"4x-";"C";;;;;;;;;;;;;"M";"M";;4
321;;822;"MM 4x D";"MM 4x- D";"MM 4x- D";"Boot";"MM";"M";"4x-";"D";;;;;;;;;;;;;"M";"M";;4
322;;823;"MM 4x E";"MM 4x- E";"MM 4x- E";"Boot";"MM";"M";"4x-";"E";;;;;;;;;;;;;"M";"M";;4
323;;824;"MM 4x F";"MM 4x- F";"MM 4x- F";"Boot";"MM";"M";"4x-";"F";;;;;;;;;;;;;"M";"M";;4
324;;825;"MM 4x G";"MM 4x- G";"MM 4x- G";"Boot";"MM";"M";"4x-";"G";;;;;;;;;;;;;"M";"M";;4
325;;826;"MM 4x+";"MM 4x+";"MM 4x+";"Boot";"MM";"M";"4x+";;;;393;;;;;;;;;;"M";"M";;5
326;;829;"MM 4x+, Gig";"MM 4x+";"MM 4x+ Gig";"Boot";"MM";"M";"4x+";;"Gig";;393;;;;;;;"Hwt";"27-76";"27/76";"M";"M";;5
327;;827;"MM 4x+ A-F Gig";"MM 4x+ A-F";"MM 4x+ A-F Gig";"Boot";"MM";"M";"4x+";"A-F";"Gig";;;;;;;;;;;;"M";"M";;5
328;;830;"MM 8+";"MM 8+";"MM 8+";"Boot";"MM";"M";"8+";;;;;;;;;;;;;;"M";"M";;9
329;;831;"MM 8+ A-E";"MM 8+ A-E";"MM 8+ A-E";"Boot";"MM";"M";"8+";"A-E";;;379;;;;;;;"Hwt";"27-59";"27/59";"M";"M";;9
330;;833;"MM 8+ A-K";"MM 8+ A-K";"MM 8+ A-K";"Boot";"MM";"M";"8+";"A-K";;;;;;;;;;;;;"M";"M";;9
331;;834;"MM 8+ A-M";"MM 8+ A-M";"MM 8+ A-M";"Boot";"MM";"M";"8+";"A-M";;;;;;;;;;;;;"M";"M";;9
332;;715;"Männer-Achter MA 27-MDA 55 Altersklasse B";"MM 8+ B";"MM 8+ B";"Boot";"MM";"M";"8+";"B";;;;;;;;;;;;;"M";"M";;9
333;;835;"MM 8+ C";"MM 8+ C";"MM 8+ C";"Boot";"MM";"M";"8+";"C";;;;;;;;;;;;;"M";"M";;9
334;;836;"MM 8+ E";"MM 8+ E";"MM 8+ E";"Boot";"MM";"M";"8+";"E";;;;;;;;;;;;;"M";"M";;9
335;;837;"MM A";"MM A";"MM A";"Ergo";"MM";"M";;"A";;;;;;;;;;;;;"M";"M";;
336;;1252;"MM A FUN";"MM A";"MM A FUN";"Ergo";"MM";"M";;"A";"FUN";;;;;;;;;;;;"M";"M";;
337;;1253;"MM A Lgw";"MM A LG";"MM A LG";"Ergo";"MM";"M";;"A";;"LG";;;;;;;;;;;"M";"M";;
338;;737;"Master Männer A/B";"MM A/B";"MM A/B";"Ergo";"MM";"M";;"A/B";;;;;;;;;;;;;"M";"M";;
339;;1180;"MM A-K";"MM A-K";"MM A-K";"Ergo";"MM";"M";;"A-K";;;;;;;;;;;;;"M";"M";;
340;;838;"MM A-M";"MM A-M";"MM A-M";"Ergo";"MM";"M";;"A-M";;;;;;;;;;;;;"M";"M";;
341;;839;"MM B";"MM B";"MM B";"Ergo";"MM";"M";;"B";;;;;;;;;;;;;"M";"M";;
342;;1260;"MM B FUN";"MM B";"MM B FUN";"Ergo";"MM";"M";;"B";"FUN";;;;;;;;;;;;"M";"M";;
343;;1261;"MM B Lgw";"MM B LG";"MM B LG";"Ergo";"MM";"M";;"B";;"LG";;;;;;;;;;;"M";"M";;
344;;840;"MM C";"MM C";"MM C";"Ergo";"MM";"M";;"C";;;;;;;;;;;;;"M";"M";;
345;;1270;"MM C Lgw";"MM C LG";"MM C LG";"Ergo";"MM";"M";;"C";;"LG";;;;;;;;;;;"M";"M";;
346;;738;"Master Männer C/D";"MM C/D";"MM C/D";"Ergo";"MM";"M";;"C/D";;;;;;;;;;;;;"M";"M";;
347;;841;"MM D";"MM D";"MM D";"Ergo";"MM";"M";;"D";;;;;;;;;;;;;"M";"M";;
348;;694;"Männer 50-54 Jahre";"MM D";"MM D";"Ergo";"MM";"M";;"D";"";;;;;;;;;;;;"M";"M";;
349;;1268;"MM C 50-59";"MM D/E";"MM D/E";"Ergo";"MM";"M";;"D/E";;;;;;;;;;;;;"M";"M";;
350;;1269;"MM C 50-59 Lgw";"MM D/E LG";"MM D/E LG";"Ergo";"MM";"M";;"D/E";;"LG";;;;;;;;;;;"M";"M";;
351;;842;"MM E";"MM E";"MM E";"Ergo";"MM";"M";;"E";;;;;;;;;;;;;"M";"M";;
352;;697;"Männer 55-59 Jahre";"MM E";"MM E";"Ergo";"MM";"M";;"E";"";;;;;;;;;;;;"M";"M";;
353;;739;"Master Männer E/F";"MM E/F";"MM E/F";"Ergo";"MM";"M";;"E/F";;;;;;;;;;;;;"M";"M";;
354;;843;"MM F";"MM F";"MM F";"Ergo";"MM";"M";;"F";;;;;;;;;;;;;"M";"M";;
355;;700;"Männer 60-64 Jahre";"MM F";"MM F";"Ergo";"MM";"M";;"F";"";;;;;;;;;;;;"M";"M";;
356;;1275;"MM D 60-69";"MM F/G";"MM F/G";"Ergo";"MM";"M";;"F/G";;;;;;;;;;;;;"M";"M";;
357;;706;"Männer 70-74 Jahre";"MM F/G";"MM F/G";"Ergo";"MM";"M";;"F/G";"";;;;;;;;;;;;"M";"M";;
358;;844;"MM G";"MM G";"MM G";"Ergo";"MM";"M";;"G";;;;;;;;;;;;;"M";"M";;
359;;703;"Männer 65-69 Jahre";"MM G";"MM G";"Ergo";"MM";"M";;"G";"";;;;;;;;;;;;"M";"M";;
360;;740;"Master Männer G und älter";"MM G";"MM G und älter";"Ergo";"MM";"M";;"G";"und älter";;;;;;;;;;;;"M";"M";;
361;;845;"MM H";"MM H";"MM H";"Ergo";"MM";"M";;"H";;;;;;;;;;;;;"M";"M";;
362;;846;"MM I";"MM I";"MM I";"Ergo";"MM";"M";;"I";;;;;;;;;;;;;"M";"M";;
363;;707;"Männer 75 Jahre u.ä.";"MM I";"MM I und älter";"Ergo";"MM";"M";;"I";"und älter";;;;;;;;;;;;"M";"M";;
364;;847;"MM/W 2x";"MM/W 2x";"MM/W 2x";"Boot";"MM/W";"M";"2x";;;;159;;;;;;;"Hwt";;;"M/W";"M/F";;2
365;;848;"MM/W 2x A";"MM/W 2x A";"MM/W 2x A";"Boot";"MM/W";"M";"2x";"A";;;;;;;;;;;;;"M/W";"M/F";;2
366;;849;"MM/W 2x A/C/E/G/I/K/M";"MM/W 2x A/C/E/G/I/K/M";"MM/W 2x A/C/E/G/I/K/M";"Boot";"MM/W";"M";"2x";"A/C/E/G/I/K/M";;;;;;;;;;;;;"M/W";"M/F";;2
367;;850;"MM/W 2x A/C/E/G/I/K/M Mix";"MM/W 2x A/C/E/G/I/K/M";"MM/W 2x A/C/E/G/I/K/M mix";"Boot";"MM/W";"M";"2x";"A/C/E/G/I/K/M";"mix";;;;;;;;;;;;"M/W";"M/F";;2
368;;851;"MM/W 2x A-K";"MM/W 2x A-K";"MM/W 2x A-K";"Boot";"MM/W";"M";"2x";"A-K";;;;;;;;;;;;;"M/W";"M/F";;2
369;;852;"MM/W 2x B/D/F/H/J/L";"MM/W 2x B/D/F/H/J/L";"MM/W 2x B/D/F/H/J/L";"Boot";"MM/W";"M";"2x";"B/D/F/H/J/L";;;;;;;;;;;;;"M/W";"M/F";;2
370;;853;"MM/W 2x B/D/F/H/J/L Mix";"MM/W 2x B/D/F/H/J/L";"MM/W 2x B/D/F/H/J/L mix";"Boot";"MM/W";"M";"2x";"B/D/F/H/J/L";"mix";;;;;;;;;;;;"M/W";"M/F";;2
371;;1;"MM/W 2x C Mix";"MM/W 2x C";"MM/W 2x C mix";"Boot";"MM/W";"M";"2x";"C";"mix";;;;;;;;;;;;"M/W";"M/F";;2
372;;854;"MM/W 4x A-F";"MM/W 4x- A-F";"MM/W 4x- A-F";"Boot";"MM/W";"M";"4x-";"A-F";;;;;;;;;;;;;"M/W";"M/F";;4
373;;855;"MM/W 4x A-K";"MM/W 4x- A-K";"MM/W 4x- A-K";"Boot";"MM/W";"M";"4x-";"A-K";;;;;;;;;;;;;"M/W";"M/F";;4
374;;856;"MM/W 4x A-M";"MM/W 4x- A-M";"MM/W 4x- A-M";"Boot";"MM/W";"M";"4x-";"A-M";;;;;;;;;;;;;"M/W";"M/F";;4
375;;857;"MM/W 4x A-M Mix";"MM/W 4x- A-M";"MM/W 4x- A-M mix";"Boot";"MM/W";"M";"4x-";"A-M";"mix";;;;;;;;;;;;"M/W";"M/F";;4
376;;858;"MM/W 4x B";"MM/W 4x- B";"MM/W 4x- B";"Boot";"MM/W";"M";"4x-";"B";;;;;;;;;;;;;"M/W";"M/F";;4
377;;859;"MM/W 4x D";"MM/W 4x- D";"MM/W 4x- D";"Boot";"MM/W";"M";"4x-";"D";;;;;;;;;;;;;"M/W";"M/F";;4
378;;4;"MM/W 4x D Mix";"MM/W 4x- D";"MM/W 4x- D mix";"Boot";"MM/W";"M";"4x-";"D";"mix";;;;;;;;;;;;"M/W";"M/F";;4
379;;860;"MM/W 4x F";"MM/W 4x- F";"MM/W 4x- F";"Boot";"MM/W";"M";"4x-";"F";;;;;;;;;;;;;"M/W";"M/F";;4
380;;861;"MM/W 4x+ A-F Gig";"MM/W 4x+ A-F";"MM/W 4x+ A-F Gig";"Boot";"MM/W";"M";"4x+";"A-F";"Gig";;;;;;;;;;;;"M/W";"M/F";;5
381;;742;"Mixed-Achter A/D";"MM/W 8+ A/D";"MM/W 8+ A/D";"Boot";"SM/F";"S";"8+";"A/D";;;;;;;;;;;;;"M";"M";;9
382;;862;"MM/W 8+ A-E";"MM/W 8+ A-E";"MM/W 8+ A-E";"Boot";"MM/W";"M";"8+";"A-E";;;;;;;;;;;;;"M/W";"M/F";;9
383;;863;"MM/W 8+ A-F";"MM/W 8+ A-F";"MM/W 8+ A-F";"Boot";"MM/W";"M";"8+";"A-F";;;395;;;;;;;"Hwt";"27-76";"27/76";"M/W";"M/F";;9
384;;864;"MM/W 8+ A-M";"MM/W 8+ A-M";"MM/W 8+ A-M";"Boot";"MM/W";"M";"8+";"A-M";;;;;;;;;;;;;"M/W";"M/F";;9
